index,real,imag,magnitude
285,-0.422857,-0.0927796,0.432916
286,0.0370338,-0.523662,0.52497
287,0.48961,-0.301333,0.574908
288,0.124201,-0.391516,0.410744
289,0.495439,-0.325037,0.592544
290,0.669446,0.112719,0.678869
291,0.353058,-0.12678,0.375131
292,0.118382,0.213906,0.244479
293,-0.410243,0.298762,0.507501
294,-0.703571,0.139245,0.717217
295,-0.637733,-0.0610921,0.640653
296,-0.816592,-0.357991,0.891617
297,-0.601644,-0.714384,0.933981
298,0.145007,-0.32525,0.35611
299,0.458267,-0.438728,0.634422
300,0.0140744,-0.361878,0.362151
301,0.400737,0.12175,0.418824
302,-0.303579,0.34473,0.459346
303,0.156011,0.425018,0.452747
304,0.109292,-0.2077,0.2347
305,0.246192,0.178329,0.303993
306,0.348772,-0.182461,0.393616
307,-0.145623,0.356017,0.384648
308,-0.221291,0.545915,0.589062
309,-0.764809,0.228527,0.798221
310,-0.465628,0.309143,0.558908
311,-0.370067,-0.592143,0.698272
312,0.184616,-0.358916,0.403614
313,0.627181,-0.173345,0.650695
314,0.662971,0.053701,0.665143
315,0.109724,0.490916,0.503029
316,-0.461144,0.507958,0.686058
317,-0.533446,-0.239511,0.584748
318,0.188868,-0.129283,0.228878
319,0.379012,0.00043624,0.379013
320,-0.0946902,0.0638084,0.114183
321,-0.0964304,0.444147,0.454495
322,-0.0838285,0.403324,0.411944
323,0.238027,0.307626,0.388961
324,0.530701,0.282022,0.600983
325,-0.28213,0.405128,0.493686
326,-0.670906,0.393169,0.777622
327,-0.29489,0.4377,0.527771
328,3.26832e-05,0.320085,0.320085
329,-0.414236,-0.0471861,0.416915
330,0.0603911,-0.161671,0.172582
331,-0.317332,-0.296905,0.434571
332,-0.191679,-0.443787,0.483412
333,0.281067,-0.0521626,0.285866
334,0.0751541,-0.230535,0.242476
335,-0.0717161,-0.181109,0.194792
336,-0.307149,-0.239222,0.389317
337,-0.161364,-0.533688,0.557549
338,0.378516,0.0152108,0.378822
339,0.531547,-0.293851,0.607364
340,0.419809,0.386567,0.570678
341,0.550985,0.476564,0.72849
342,0.215742,0.673583,0.70729
343,0.135427,0.779583,0.791258
344,-0.138239,0.819675,0.83125
345,0.0331432,0.672545,0.673361
346,-0.573616,0.63585,0.856353
347,-0.472964,0.548036,0.723905
348,-0.687338,-0.0892235,0.693105
349,-0.58877,-0.0370071,0.589932
350,-0.344388,-0.652098,0.737452
351,-0.0903783,-0.727519,0.733111
352,0.643311,-0.42785,0.772596
353,0.746525,-0.0190256,0.746767
354,0.745772,0.554176,0.929133
355,0.588615,0.718112,0.928522
356,0.0677914,0.964712,0.967091
357,-0.445264,0.185596,0.482396
358,-0.133083,0.416831,0.43756
359,0.179831,0.00695777,0.179965
360,-0.0473185,0.357911,0.361025
361,-0.187923,-0.0707238,0.200791
362,0.117646,-0.186485,0.220493
363,0.503333,-0.0248434,0.503946
364,0.636485,0.304613,0.705622
365,0.106715,0.185307,0.213838
366,-0.505305,0.179734,0.536318
367,-0.503956,-0.368459,0.624286
368,-0.461022,-0.516627,0.69242
369,-0.0230291,-0.135153,0.137101
370,-0.305618,-0.273451,0.410095
371,-0.308542,0.133628,0.336236
372,-0.0360793,0.216833,0.219814
373,-0.0338655,0.33199,0.333712
374,-0.275235,-0.15166,0.314253
375,0.0379481,0.0510634,0.0636202
376,-0.382184,-0.00433832,0.382209
377,-0.179801,0.397871,0.436611
378,-0.133032,-0.207531,0.246509
379,-0.43421,0.114053,0.448939
380,-0.0276747,0.147642,0.150213
381,-0.120875,0.473473,0.488659
382,-0.171583,-0.0876371,0.192668
383,-0.552763,-0.269146,0.614806
384,-0.336775,-0.702176,0.778761
385,-0.344438,-0.277627,0.442396
386,0.403593,-0.0265818,0.404467
387,-0.0755379,-0.286895,0.296673
388,0.0228261,-0.459767,0.460333
389,0.290933,-0.646743,0.709167
390,0.608365,-0.316873,0.685942
391,0.958316,-0.0837929,0.961972
392,0.901567,0.226557,0.929597
